C,penalty,solver,max_iter,class_weight,random_state,score,trial_number,training_score,l1_ratio
0.0009899427279741575,,lbfgs,1000,,42,0.8908800972870682,31,0.9999959196537226,
0.0009899427279741575,,lbfgs,1000,,42,0.8908800972870682,31,0.9999959196537226,
0.0002750919614227139,,lbfgs,1000,,42,0.8908800972870682,32,0.9999959196537226,
0.0002750919614227139,,lbfgs,1000,,42,0.8908800972870682,32,0.9999959196537226,
0.0019704700250044844,l2,sag,1000,,42,0.888491602512375,33,0.9999625927245992,
0.0019704700250044844,l2,sag,1000,,42,0.888491602512375,33,0.9999625927245992,
0.00022571236125159682,l2,newton-cg,1000,,42,0.8863589014443384,34,0.9999079962859909,
0.00022571236125159682,l2,newton-cg,1000,,42,0.8863589014443384,34,0.9999079962859909,
0.09731662525743892,,lbfgs,1000,,42,0.8908800972870682,35,0.9999959196537226,
0.09731662525743892,,lbfgs,1000,,42,0.8908800972870682,35,0.9999959196537226,
0.00010031302185308254,,lbfgs,1000,,42,0.8908800972870682,36,0.9999959196537226,
0.00010031302185308254,,lbfgs,1000,,42,0.8908800972870682,36,0.9999959196537226,
0.015526500777802873,,sag,1000,,42,0.8204244483125408,37,0.999999961210419,
0.015526500777802873,,sag,1000,,42,0.8204244483125408,37,0.999999961210419,
0.0015008557776169157,,newton-cg,1000,,42,0.8900765899822745,38,0.9999995196328065,
0.0015008557776169157,,newton-cg,1000,,42,0.8900765899822745,38,0.9999995196328065,
0.0034718924757938543,l2,liblinear,1000,,42,0.8890228025131451,39,0.9999718678730138,
0.0034718924757938543,l2,liblinear,1000,,42,0.8890228025131451,39,0.9999718678730138,
0.000859887067567272,l1,saga,1000,,42,0.883209818694005,40,0.9999998892517982,
0.000859887067567272,l1,saga,1000,,42,0.883209818694005,40,0.9999998892517982,
0.00020918947251354837,,lbfgs,1000,,42,0.8908800972870682,41,0.9999959196537226,
0.00020918947251354837,,lbfgs,1000,,42,0.8908800972870682,41,0.9999959196537226,
39.0552531993114,,lbfgs,1000,,42,0.8908800972870682,42,0.9999959196537226,
39.0552531993114,,lbfgs,1000,,42,0.8908800972870682,42,0.9999959196537226,
7.694926914997886,,lbfgs,1000,,42,0.8908800972870682,43,0.9999959196537226,
7.694926914997886,,lbfgs,1000,,42,0.8908800972870682,43,0.9999959196537226,
9.2151400658951,,lbfgs,1000,,42,0.8908800972870682,44,0.9999959196537226,
9.2151400658951,,lbfgs,1000,,42,0.8908800972870682,44,0.9999959196537226,
0.007229338861425942,,lbfgs,1000,balanced,42,0.8525378594413298,45,0.9999999390628485,
0.007229338861425942,,lbfgs,1000,balanced,42,0.8525378594413298,45,0.9999999390628485,
0.03561260197241766,,lbfgs,1000,,42,0.8908800972870682,46,0.9999959196537226,
0.03561260197241766,,lbfgs,1000,,42,0.8908800972870682,46,0.9999959196537226,
0.3627509643475658,l2,saga,1000,,42,0.8908450915904353,47,0.9999987132768606,
0.3627509643475658,l2,saga,1000,,42,0.8908450915904353,47,0.9999987132768606,
3.574381490993367,l2,lbfgs,1000,balanced,42,0.8630281755119557,48,0.9999999390628485,
3.574381490993367,l2,lbfgs,1000,balanced,42,0.8630281755119557,48,0.9999999390628485,
41.99753635452905,l1,liblinear,1000,,42,0.8272560705878528,49,0.999999961210419,
41.99753635452905,l1,liblinear,1000,,42,0.8272560705878528,49,0.999999961210419,
