n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,34,10,0.2607323824953514,0.6012854712351056,0.8310316786454108,4,42,0.0009243834718938144,1.172104887909972e-05,cpu,42,27.580278281911674,0.8070273863882304,0.9750998544486918,"[np.float64(0.8020447471539189), np.float64(0.8058698777164941), np.float64(0.813167534294278)]",0.004614034256937761
300,binary,-1,gbdt,179,16,0.29379247528739666,0.7611317263567745,0.9687325531351113,1,73,6.23311982815336,5.514442215086888e-06,cpu,42,27.580278281911674,0.8531371282072707,0.9999998459601663,"[np.float64(0.8524358384231433), np.float64(0.8497263734076407), np.float64(0.8572491727910281)]",0.0031109466042417103
300,binary,-1,gbdt,179,15,0.13833130778042887,0.7510474596444994,0.9156010140269741,2,47,0.007307750387276985,1.048376618840492e-08,cpu,42,27.580278281911674,0.8787334925503103,1.0,"[np.float64(0.8736346330463738), np.float64(0.879488609663158), np.float64(0.8830772349413993)]",0.003891729181017227
300,binary,-1,gbdt,195,14,0.08863524269313464,0.7088214748795376,0.8650037716103737,4,45,1.2995158571876167e-05,4.3388064823247413e-08,cpu,42,27.580278281911674,0.3324145452536225,0.3502922953417709,"[np.float64(0.33983458093418173), np.float64(0.3318942559834596), np.float64(0.32551479884322626)]",0.00585759139786979
300,binary,-1,gbdt,199,17,0.15580321832309477,0.7549507396603284,0.7147671410592147,3,30,0.005806234640790575,1.6282014433343887e-06,cpu,42,27.580278281911674,0.8717093804394921,0.999999969836971,"[np.float64(0.8671459342464262), np.float64(0.8717920139731234), np.float64(0.8761901930989271)]",0.003692765519536873
300,binary,-1,gbdt,156,15,0.057108120937515626,0.8694396918561687,0.9082630001286769,10,53,2.7763775589519402e-05,0.00024493594196131895,cpu,42,27.580278281911674,0.42756493248037525,0.45253675054817916,"[np.float64(0.4309934330519202), np.float64(0.4186164082515739), np.float64(0.43308495613763154)]",0.006384913552513135
300,binary,-1,gbdt,210,14,0.06483403538559132,0.670068758960211,0.8449972419793449,5,33,0.008183637410028081,1.3076558765018949e-08,cpu,42,27.580278281911674,0.32471196742645514,0.34539037390541294,"[np.float64(0.31737974897017535), np.float64(0.3513114253424657), np.float64(0.30544472796672445)]",0.019429523114021
300,binary,-1,gbdt,84,17,0.17738426651003072,0.8176526196459714,0.9382651174766393,2,10,0.006515249729044362,3.218180206079766e-05,cpu,42,27.580278281911674,0.8631199089731959,0.999879600589006,"[np.float64(0.8577669256161831), np.float64(0.8652433097334999), np.float64(0.8663494915699045)]",0.0038119752254476146
300,binary,-1,gbdt,256,15,0.08333232596291978,0.957004037690841,0.6993619937005173,5,51,2.017445620626292e-05,3.741275179158502e-07,cpu,42,27.580278281911674,0.413310210929827,0.43688276578547125,"[np.float64(0.40947405984520857), np.float64(0.4239779644937458), np.float64(0.4064786084505267)]",0.0076417234897132045
300,binary,-1,gbdt,156,10,0.16640058854345455,0.8617299765326092,0.7923820385920486,9,23,9.465296117300289,8.014084723224262e-05,cpu,42,27.580278281911674,0.8604229767735821,0.9994432767005677,"[np.float64(0.8530603128015132), np.float64(0.8619839607649509), np.float64(0.8662246567542826)]",0.005486498044757162
