C,penalty,solver,max_iter,class_weight,random_state,score,trial_number,training_score,cv_folds,l1_ratio
4.35730942283082,,lbfgs,1000,,42,0.8862588663774704,30,0.9999916120576889,5,
4.35730942283082,,lbfgs,1000,,42,0.8862588663774704,30,0.9999916120576889,5,
0.10867127762656172,,lbfgs,1000,,42,0.8862588663774704,31,0.9999916120576889,5,
0.10867127762656172,,lbfgs,1000,,42,0.8862588663774704,31,0.9999916120576889,5,
0.15898343355462985,,lbfgs,1000,,42,0.8862588663774704,32,0.9999916120576889,5,
0.15898343355462985,,lbfgs,1000,,42,0.8862588663774704,32,0.9999916120576889,5,
0.022799393269536044,,lbfgs,1000,,42,0.8862588663774704,33,0.9999916120576889,5,
0.022799393269536044,,lbfgs,1000,,42,0.8862588663774704,33,0.9999916120576889,5,
0.07705034631709194,l2,liblinear,1000,,42,0.8860656802757919,34,0.9999898585146154,5,
0.07705034631709194,l2,liblinear,1000,,42,0.8860656802757919,34,0.9999898585146154,5,
0.48783864269945343,,lbfgs,1000,,42,0.8862588663774704,35,0.9999916120576889,5,
0.48783864269945343,,lbfgs,1000,,42,0.8862588663774704,35,0.9999916120576889,5,
0.016224360155066748,l2,sag,1000,,42,0.8853409914205239,36,0.9999732260763446,5,
0.016224360155066748,l2,sag,1000,,42,0.8853409914205239,36,0.9999732260763446,5,
0.972395641466048,l2,liblinear,1000,balanced,42,0.8815454602040366,37,0.9999993334351444,5,
0.972395641466048,l2,liblinear,1000,balanced,42,0.8815454602040366,37,0.9999993334351444,5,
0.06663807980587452,,lbfgs,1000,,42,0.8862588663774704,38,0.9999916120576889,5,
0.06663807980587452,,lbfgs,1000,,42,0.8862588663774704,38,0.9999916120576889,5,
3.9868992650843125,,newton-cg,1000,,42,0.8857973144492052,39,0.9999974073945024,5,
3.9868992650843125,,newton-cg,1000,,42,0.8857973144492052,39,0.9999974073945024,5,
0.36374663713665967,,lbfgs,1000,balanced,42,0.8336081561127667,40,0.9999997345679901,5,
0.36374663713665967,,lbfgs,1000,balanced,42,0.8336081561127667,40,0.9999997345679901,5,
0.0031141578251666475,,lbfgs,1000,,42,0.8862588663774704,41,0.9999916120576889,5,
0.0031141578251666475,,lbfgs,1000,,42,0.8862588663774704,41,0.9999916120576889,5,
0.0006758819744396241,,lbfgs,1000,,42,0.8862588663774704,42,0.9999916120576889,5,
0.0006758819744396241,,lbfgs,1000,,42,0.8862588663774704,42,0.9999916120576889,5,
9.083531489087356,,lbfgs,1000,,42,0.8862588663774704,43,0.9999916120576889,5,
9.083531489087356,,lbfgs,1000,,42,0.8862588663774704,43,0.9999916120576889,5,
0.0001855615189101149,,lbfgs,1000,,42,0.8862588663774704,44,0.9999916120576889,5,
0.0001855615189101149,,lbfgs,1000,,42,0.8862588663774704,44,0.9999916120576889,5,
0.0006922690842671948,l1,saga,1000,,42,0.8787346162061628,45,0.9999995309369044,5,
0.0006922690842671948,l1,saga,1000,,42,0.8787346162061628,45,0.9999995309369044,5,
