objective,metric,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
binary,average_precision,-1,gbdt,171,16,0.24471228173285872,0.9783600590363092,0.9998722762037568,1,50,0.042570472667612665,3.119063160746931e-05,cpu,42,27.580278281911674,0.885710423527482,1.0,"[np.float64(0.8843009810542244), np.float64(0.8801082256515838), np.float64(0.8838932507629087), np.float64(0.8811105572742497), np.float64(0.899139102894443)]",0.00690161524674793
binary,average_precision,-1,gbdt,174,17,0.2753515225312427,0.997250098341271,0.9902078648396684,1,48,0.028185647226520453,3.512997827539046e-05,cpu,42,27.580278281911674,0.882685252500156,1.0,"[np.float64(0.8813687374456508), np.float64(0.8769201076954358), np.float64(0.8814078018531075), np.float64(0.8796547357187692), np.float64(0.8940748797878166)]",0.005924687812498922
binary,average_precision,-1,gbdt,256,17,0.2925685148492866,0.8397210618984581,0.7324669916272522,1,45,0.05874191025910132,1.0159326771578433e-08,cpu,42,27.580278281911674,0.8551211891844529,1.0,"[np.float64(0.8566702366453313), np.float64(0.8529866490571683), np.float64(0.8509785644039625), np.float64(0.8474023714063705), np.float64(0.8675681244094328)]",0.00690830650809676
binary,average_precision,-1,gbdt,135,16,0.11409296708651206,0.9868659072638666,0.9914870648657164,7,63,7.260639198956525,0.00010858245210930546,cpu,42,27.580278281911674,0.8778646155074352,0.9997874935711861,"[np.float64(0.8756847917549295), np.float64(0.8751707093150395), np.float64(0.8749492523355273), np.float64(0.874719218193387), np.float64(0.8887991059382923)]",0.005476581229841449
binary,average_precision,-1,gbdt,177,18,0.17382038480403714,0.8429295385784584,0.6014986261084823,8,33,1.554999462416912e-08,1.1666525138293814e-06,cpu,42,27.580278281911674,0.8619849117441435,0.9999938858037657,"[np.float64(0.8599642008691478), np.float64(0.8577828012550962), np.float64(0.8591968966441963), np.float64(0.8608753643639544), np.float64(0.8721052955883228)]",0.005160761527961379
binary,average_precision,-1,gbdt,197,15,0.07601025881750158,0.9288267951784084,0.7523433168608711,2,59,0.10935584220025112,0.020741251571190653,cpu,42,27.580278281911674,0.8777915308164539,0.9999999633841604,"[np.float64(0.8770664666683843), np.float64(0.8737500692086514), np.float64(0.8750323048881333), np.float64(0.874804734365421), np.float64(0.8883040789516797)]",0.005364831386073873
binary,average_precision,-1,gbdt,115,20,0.18192971363866794,0.8382180769636371,0.9560608109891744,3,74,0.0053896092509232,0.000302039214163623,cpu,42,27.580278281911674,0.8790941099307495,1.0,"[np.float64(0.8768705359977976), np.float64(0.8739508804055258), np.float64(0.8768201580535226), np.float64(0.8780138835164952), np.float64(0.8898150916804064)]",0.005525835446462519
binary,average_precision,-1,gbdt,151,18,0.0661824308772257,0.9294701327430732,0.9578312387162401,7,49,0.42736116317443423,0.3599435740199491,cpu,42,27.580278281911674,0.8775696467273493,0.9995067287101211,"[np.float64(0.8779858408761868), np.float64(0.8725942472312779), np.float64(0.8767329034997295), np.float64(0.8697948152451892), np.float64(0.8907404267843628)]",0.007204795747697708
binary,average_precision,-1,gbdt,226,12,0.12040288667269902,0.6132646153041245,0.7781505071760507,2,73,0.0010084405592492727,2.6291312558324783e-06,cpu,42,27.580278281911674,0.8795937552627364,1.0,"[np.float64(0.8790448278077108), np.float64(0.8763640716915286), np.float64(0.8781111860858062), np.float64(0.8758577097384387), np.float64(0.8885909809901983)]",0.0046440993881681925
binary,average_precision,-1,gbdt,182,16,0.20571129728132048,0.8772596543725834,0.9928653029326032,9,34,0.02665775034085374,1.8918616010657937e-08,cpu,42,27.580278281911674,0.88843706662729,1.0,"[np.float64(0.8892353641567152), np.float64(0.8820434627817653), np.float64(0.8853746356244176), np.float64(0.8868771052631258), np.float64(0.8986547653104258)]",0.005616560843850767
binary,average_precision,-1,gbdt,196,15,0.23267590957571924,0.9590781177484327,0.9340445156116151,9,33,0.010917510446134853,0.002398065955092266,cpu,42,27.580278281911674,0.8865759899718058,1.0,"[np.float64(0.8843583145996124), np.float64(0.8798309341335458), np.float64(0.8853821699525326), np.float64(0.8844580942295981), np.float64(0.8988504369437396)]",0.006434074904720498
