n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,255,14,0.2816372725274161,0.8783880582651815,0.6115116738900669,8,53,0.011958935109903531,0.07270554934981585,cpu,42,27.580278281911674,0.7522905639696512,0.9938254517322719,"[np.float64(0.7553641087208645), np.float64(0.7977112040574525), np.float64(0.7037963791306368)]",0.03840211446662712
300,binary,-1,gbdt,256,13,0.24438938765289267,0.8609445974627224,0.6884677555976227,7,63,0.0073408049880964886,0.042131245072629574,cpu,42,27.580278281911674,0.8257026042355898,0.9999874740369088,"[np.float64(0.8219562692649526), np.float64(0.8276669164808625), np.float64(0.8274846269609546)]",0.002650103979272287
300,binary,-1,gbdt,200,12,0.175165128085638,0.9774738812858256,0.7080860077628457,7,67,0.005213659800166604,0.0806031673104345,cpu,42,27.580278281911674,0.8524783676018122,0.999994111301147,"[np.float64(0.8473955142231364), np.float64(0.8545187607167066), np.float64(0.8555208278655935)]",0.003617327143491099
300,binary,-1,gbdt,194,11,0.15305171337594348,0.9943858806921546,0.6982239676098684,3,68,0.0013572802384382036,0.3992126475602348,cpu,42,27.580278281911674,0.8558646789460139,0.9999998022412147,"[np.float64(0.8516403845264835), np.float64(0.8538110227761455), np.float64(0.8621426295354125)]",0.004526765976199968
300,binary,-1,gbdt,198,12,0.1332207226463566,0.9953921636316252,0.7085783217391096,3,97,0.11648483327923843,4.366428021481879,cpu,42,27.580278281911674,0.3042057039263873,0.31482838089964305,"[np.float64(0.2954902693394579), np.float64(0.3136341057181692), np.float64(0.30349273672153476)]",0.007424326739880565
300,binary,-1,gbdt,193,12,0.147977156544817,0.9573895135386917,0.7087871923223472,3,41,0.0005596470244140779,0.4132086083554194,cpu,42,27.580278281911674,0.8597889539738991,1.0,"[np.float64(0.855136181136767), np.float64(0.8611208056135262), np.float64(0.8631098751714041)]",0.003388738283588239
300,binary,-1,gbdt,121,11,0.040410036813861745,0.9357005411349577,0.7270780498502165,4,43,0.00035095779492807876,0.6364918252415094,cpu,42,27.580278281911674,0.4045772199547195,0.4236251628409791,"[np.float64(0.3937935360417612), np.float64(0.4203494391033273), np.float64(0.39958868471907016)]",0.011400821891478124
300,binary,-1,gbdt,174,15,0.020325926873514064,0.9398011317638394,0.6774327394635902,3,39,2.842969715104288e-05,9.153305799227132e-06,cpu,42,27.580278281911674,0.5179236761118747,0.5613379872646616,"[np.float64(0.5080481657402744), np.float64(0.5196226851159522), np.float64(0.5261001774793974)]",0.007466983132622827
300,binary,-1,gbdt,126,11,0.13230874162564527,0.8253775363934714,0.7447562365360708,2,23,0.10760227588213155,0.00614256892857412,cpu,42,27.580278281911674,0.3644729019319912,0.37638202888638256,"[np.float64(0.34485638684600267), np.float64(0.3971014923218483), np.float64(0.3514608266281227)]",0.023228909277460245
300,binary,-1,gbdt,211,13,0.10737686194546564,0.937468089509283,0.6641222928086763,4,58,8.606909581086487,0.46087319323494796,cpu,42,27.580278281911674,0.3530438155009618,0.3682324921000022,"[np.float64(0.3518786926014774), np.float64(0.35749471806734545), np.float64(0.34975803583406256)]",0.003264168758185966
300,binary,-1,gbdt,174,12,0.18643945960961567,0.985303057128841,0.7475368493136951,6,72,0.0028238331929042034,0.3839029387873855,cpu,42,27.580278281911674,0.8577677774933076,1.0,"[np.float64(0.8531461634847707), np.float64(0.8591131490143942), np.float64(0.8610440199807581)]",0.0033617012265731963
