C,penalty,solver,max_iter,class_weight,random_state,l1_ratio,score,trial_number,training_score
36.03456247373598,l1,liblinear,1000,,42,,0.8216071795972311,25,0.9999999778326402
36.03456247373598,l1,liblinear,1000,,42,,0.8216071795972311,25,0.9999999778326402
0.0012068584886053553,,lbfgs,1000,balanced,42,,0.8525302768303119,26,0.9999999778326402
0.0012068584886053553,,lbfgs,1000,balanced,42,,0.8525302768303119,26,0.9999999778326402
2.046463100663003,,lbfgs,1000,,42,,0.8971915104190178,27,0.9999973592106165
2.046463100663003,,lbfgs,1000,,42,,0.8971915104190178,27,0.9999973592106165
8.47120009230227,,lbfgs,1000,,42,,0.8971915104190178,28,0.9999973592106165
8.47120009230227,,lbfgs,1000,,42,,0.8971915104190178,28,0.9999973592106165
0.030414449243537457,elasticnet,saga,1000,,42,0.008027741491894336,0.8967879726270641,29,0.9999937948506454
0.030414449243537457,elasticnet,saga,1000,,42,0.008027741491894336,0.8967879726270641,29,0.9999937948506454
0.00011618052673476316,,lbfgs,1000,,42,,0.8971915104190178,30,0.9999973592106165
0.00011618052673476316,,lbfgs,1000,,42,,0.8971915104190178,30,0.9999973592106165
0.0011191912642257004,,lbfgs,1000,,42,,0.8971915104190178,31,0.9999973592106165
0.0011191912642257004,,lbfgs,1000,,42,,0.8971915104190178,31,0.9999973592106165
0.16978282757240226,,lbfgs,1000,,42,,0.8971915104190178,32,0.9999973592106165
0.16978282757240226,,lbfgs,1000,,42,,0.8971915104190178,32,0.9999973592106165
0.00044389655443601006,,lbfgs,1000,,42,,0.8971915104190178,33,0.9999973592106165
0.00044389655443601006,,lbfgs,1000,,42,,0.8971915104190178,33,0.9999973592106165
45.05124983579729,l1,saga,1000,balanced,42,,0.8262173803241949,34,0.9999999889146699
45.05124983579729,l1,saga,1000,balanced,42,,0.8262173803241949,34,0.9999999889146699
0.08722831472520917,l2,sag,1000,,42,,0.8970707334321093,35,0.9999973762539376
0.08722831472520917,l2,sag,1000,,42,,0.8970707334321093,35,0.9999973762539376
0.03397548706323448,l2,newton-cg,1000,,42,,0.8968412910959107,36,0.9999942131786305
0.03397548706323448,l2,newton-cg,1000,,42,,0.8968412910959107,36,0.9999942131786305
0.0039030826567580945,,lbfgs,1000,,42,,0.8971915104190178,37,0.9999973592106165
0.0039030826567580945,,lbfgs,1000,,42,,0.8971915104190178,37,0.9999973592106165
50.1725715815508,l2,liblinear,1000,balanced,42,,0.8533972967950588,38,0.9999999778326402
